,team,period,outcome,x0,y0,x1,y1,possession,id_match
30512,Saudi Arabia,2,Complete,34.0,63.0,46.0,78.0,158-Saudi Arabia,32
30513,Saudi Arabia,2,Complete,47.0,78.0,53.0,68.0,158-Saudi Arabia,32
30514,Saudi Arabia,2,Complete,53.0,66.0,81.0,67.0,158-Saudi Arabia,32
30515,Saudi Arabia,2,Complete,64.0,64.0,51.0,27.0,159-Saudi Arabia,32
30516,Saudi Arabia,2,Complete,52.0,23.0,58.0,5.0,159-Saudi Arabia,32
30517,Saudi Arabia,2,Complete,58.0,5.0,88.0,5.0,159-Saudi Arabia,32
30518,Egypt,2,Incomplete,16.0,53.0,34.0,53.0,159-Egypt,32
30519,Saudi Arabia,2,Complete,87.0,37.0,95.0,23.0,159-Saudi Arabia,32
30520,Saudi Arabia,2,Complete,94.0,33.0,92.0,48.0,159-Saudi Arabia,32
30521,Saudi Arabia,2,Complete,94.0,49.0,97.0,73.0,159-Saudi Arabia,32
30522,Saudi Arabia,2,Complete,99.0,72.0,96.0,61.0,159-Saudi Arabia,32
30523,Saudi Arabia,2,Complete,93.0,70.0,91.0,78.0,159-Saudi Arabia,32
30524,Saudi Arabia,2,Complete,91.0,78.0,84.0,59.0,159-Saudi Arabia,32
30525,Saudi Arabia,2,Incomplete,81.0,59.0,106.0,43.0,159-Saudi Arabia,32
30526,Egypt,2,Complete,29.0,29.0,39.0,51.0,160-Egypt,32
30527,Egypt,2,Complete,41.0,59.0,65.0,68.0,160-Egypt,32
30528,Egypt,2,Complete,100.0,70.0,100.0,56.0,160-Egypt,32
30529,Saudi Arabia,2,Complete,16.0,25.0,16.0,25.0,160-Saudi Arabia,32
30530,Egypt,2,Complete,105.0,54.0,100.0,55.0,160-Egypt,32
30531,Egypt,2,Complete,100.0,54.0,102.0,39.0,160-Egypt,32
30532,Egypt,2,Complete,103.0,38.0,101.0,42.0,160-Egypt,32
30533,Egypt,2,Incomplete,101.0,42.0,104.0,39.0,160-Egypt,32
30534,Saudi Arabia,2,Complete,22.0,39.0,81.0,13.0,161-Saudi Arabia,32
30535,Saudi Arabia,2,Out,81.0,13.0,95.0,1.0,161-Saudi Arabia,32
30536,Egypt,2,Incomplete,37.0,79.0,75.0,62.0,162-Egypt,32
30537,Saudi Arabia,2,Complete,46.0,19.0,58.0,22.0,163-Saudi Arabia,32
30538,Saudi Arabia,2,Complete,72.0,31.0,74.0,51.0,163-Saudi Arabia,32
30539,Saudi Arabia,2,Complete,76.0,46.0,78.0,60.0,163-Saudi Arabia,32
30540,Saudi Arabia,2,Complete,81.0,60.0,86.0,78.0,163-Saudi Arabia,32
30541,Saudi Arabia,2,Complete,86.0,78.0,83.0,68.0,163-Saudi Arabia,32
30542,Saudi Arabia,2,Complete,82.0,68.0,69.0,74.0,163-Saudi Arabia,32
30543,Saudi Arabia,2,Complete,69.0,68.0,77.0,59.0,163-Saudi Arabia,32
30544,Saudi Arabia,2,Complete,77.0,59.0,68.0,59.0,163-Saudi Arabia,32
30545,Saudi Arabia,2,Complete,67.0,61.0,76.0,62.0,163-Saudi Arabia,32
30546,Saudi Arabia,2,Complete,82.0,61.0,89.0,55.0,163-Saudi Arabia,32
30547,Saudi Arabia,2,Complete,90.0,56.0,98.0,60.0,163-Saudi Arabia,32
30548,Saudi Arabia,2,Incomplete,95.0,55.0,117.0,7.0,163-Saudi Arabia,32
30549,Egypt,2,Out,4.0,74.0,69.0,80.0,163-Egypt,32
30550,Saudi Arabia,2,Complete,53.0,21.0,38.0,47.0,164-Saudi Arabia,32
30551,Saudi Arabia,2,Complete,36.0,51.0,51.0,66.0,164-Saudi Arabia,32
30552,Saudi Arabia,2,Complete,58.0,65.0,68.0,79.0,164-Saudi Arabia,32
30553,Saudi Arabia,2,Complete,63.0,77.0,67.0,66.0,164-Saudi Arabia,32
30554,Saudi Arabia,2,Complete,67.0,66.0,60.0,77.0,164-Saudi Arabia,32
30555,Saudi Arabia,2,Complete,59.0,77.0,37.0,62.0,164-Saudi Arabia,32
30556,Saudi Arabia,2,Complete,38.0,61.0,54.0,53.0,164-Saudi Arabia,32
30557,Saudi Arabia,2,Complete,54.0,53.0,54.0,62.0,164-Saudi Arabia,32
30558,Saudi Arabia,2,Out,62.0,65.0,75.0,1.0,164-Saudi Arabia,32
30559,Egypt,2,Complete,51.0,80.0,50.0,65.0,165-Egypt,32
30560,Egypt,2,Complete,53.0,64.0,52.0,76.0,165-Egypt,32
30561,Egypt,2,Complete,50.0,77.0,32.0,53.0,165-Egypt,32
30562,Egypt,2,Complete,32.0,53.0,37.0,45.0,165-Egypt,32
30563,Egypt,2,Complete,48.0,49.0,86.0,3.0,165-Egypt,32
30564,Egypt,2,Incomplete,93.0,5.0,112.0,20.0,165-Egypt,32
30565,Saudi Arabia,2,Complete,9.0,61.0,2.0,49.0,166-Saudi Arabia,32
30566,Saudi Arabia,2,Complete,2.0,49.0,67.0,55.0,166-Saudi Arabia,32
30567,Egypt,2,Complete,57.0,27.0,46.0,39.0,167-Egypt,32
30568,Egypt,2,Complete,46.0,39.0,50.0,65.0,167-Egypt,32
30569,Egypt,2,Complete,47.0,61.0,34.0,39.0,167-Egypt,32
30570,Egypt,2,Complete,34.0,39.0,10.0,39.0,167-Egypt,32
30571,Egypt,2,Complete,11.0,38.0,30.0,2.0,167-Egypt,32
30572,Egypt,2,Complete,28.0,5.0,35.0,12.0,167-Egypt,32
30573,Egypt,2,Incomplete,47.0,39.0,67.0,39.0,167-Egypt,32
30574,Egypt,2,Complete,50.0,29.0,37.0,10.0,167-Egypt,32
30575,Egypt,2,Complete,48.0,4.0,44.0,2.0,167-Egypt,32
30576,Egypt,2,Complete,44.0,2.0,58.0,11.0,167-Egypt,32
